portuguese,english
i think this is for you,eu acho que isso e para voce
i have to talk to you about tom,eu preciso falar contigo a respeito do tom
the stars came out,as estrelas apareceram
babies are not capable of looking after themselves,os bebes nao sao capazes de cuidar de si proprios
these fish are the same color,estes peixes sao da mesma cor
i thought that id die laughing,eu pensei que morreria rindo
are you going to call the police,voce vai chamar a policia
he is happy,ele esta feliz
she denied having met him,ela negou telo encontrado
some people are up to their necks in debt,algumas pessoas estao endividadas ate o pescoco
id rather not know,eu preferiria nao saber
i think i know tom as well as anybody,acho que conheco o tom tao bem quanto todo o mundo
these are yours,estes sao vossos
could you help me find my dog,voce poderia me ajudar a procurar o meu cachorro
this ones really nice,esse e bom mesmo
theres a problem i have to talk to you about,ha um problema sobre o qual eu tenho que conversar contigo
this is red wine,a vida do tom corre perigo
we used to live together,nos moravamos juntos
were out of soap,nao temos mais sabonete
please tell me youre joking,por favor me diga que esta brincando
wheres our car,onde esta o nosso carro
all of the cookies are in the shape of stars,todos os biscoitos tem formato de estrela
your wifes on the phone,sua esposa esta ao telefone
tom told mary that john was his best friend,tom disse para a mary que o john era seu melhor amigo
i told tom id be right back,eu disse ao tom que voltaria
he began to shout,ele comecou a gritar
i got a text message in french,recebi uma mensagem de texto em frances
come and help us,venha nos ajudar
it was so cold that no one wanted to go outside,estava tao frio que ninguem queria sair
tom politely declined marys invitation,tom recusou o convite de maria educadamente
tom wasnt invited,o tom nao foi convidado
i showed him my room,mostreilhe o meu quarto
tom went home alone,tom foi para casa sozinho
we have no time to lose,nao temos tempo a perder
tom is the bestlooking man i know,tom e o homem mais atraente que conheco
i am human,sou humano
i have a bad habit of biting my nails,eu tenho o mau habito de roer as unhas
tom kept eating,tom continuou comendo
id like to move to the countryside,eu gostaria de me mudar para o campo
no one knows his name,ninguem sabe o seu nome
are you really canadian,voces sao canadenses de verdade
these are two different kinds of bicycles,estas bicicletas sao de dois tipos diferentes
he looks older than my brother,ele parece mais velho que meu irmao
tom wont listen to anything you say,tom nao vai escutar nada do que voce disser
i want to be a pilot when i grow up,eu quero ser piloto quando crescer
im sure i can do better,eu tenho certeza de que posso fazer melhor
i need to pay this bill by tomorrow,preciso pagar esta conta ate amanha
this is my place,este e o meu lugar
what is it you do for a living,como voces ganham a vida
do you or anyone you know speak french,voce ou alguem que voce conheca sabe falar frances
the jacksons moved to boston,os jacksons mudaramse para boston
do you have to do that,voce tem que fazer isso
when in doubt tell the truth,na duvida diga a verdade
i see you reading,vejo que voce le
im a truck driver,eu sou motorista de caminhao
it looks like it might rain so dont forget your umbrella,parece que vai chover entao nao esqueca o teu guardachuva
go ahead,continuem
i knew that was tom,eu sabia que era o tom
my house is near tokyo tower,a minha casa fica perto da torre de toquio
tom betrayed marys trust,o tom traiu a confianca de mary
he is heroic,ele e heroico
you invited tom didnt you,voce convidou tom nao convidou
i got embarrassed,eu fiquei constrangido
when did you learn to swim,quando voce aprendeu a nadar
ive never seen so many books in one place,eu nunca vi tantos livros em um so lugar
thats all i have left,e tudo o que eu tenho sobrando
i hope i dont lose,espero que eu nao perca
excuse me do you know what time it is,com licenca sabe que horas sao
tom will cook,tom cozinhara
i have absolutely no idea what tom is doing,eu nao faco a menor ideia do que tom esta fazendo
do i have to talk to tom,tenho que falar com tom
ive caught a cold,peguei um resfriado
tom is a hypochondriac,tom e hipocondriaco
tom shouldve refused to leave early,tom deveria ter recusado sair mais cedo
we dont have to do this,nao temos que fazer isso
tom is laughing at you,tom esta rindo de voce
why wont anybody help us,por que ninguem nos ajuda
tom asked mary some questions,tom fez algumas perguntas a maria
he never listens to what i am trying to say,ele nunca escuta o que eu tento dizer
first lets talk about tom,primeiro falemos sobre tom
i dont play rugby,eu nao jogo rugby
i dont know anything about tom,eu nao sei nada sobre tom
you have to follow the rules,voce tem de seguir as regras
its really hot today isnt it yeah it sure is,esta mesmo quente hoje nao e e com certeza
where do you usually go when you have time off,aonde tu costumas ir quando dispoes de tempo livre
we worked on it all night,nos trabalhamos nisso a noite toda
tom committed a crime,tom cometeu um crime
you used to love swimming,voce adorava nadar
is it contagious,e contagioso
tom could you lend me ten dollars,tom voce poderia me emprestar dez dolares
tom needs to talk to mary,o tom precisa falar com a mary
its better for me to have a fish than a bird,para mim e melhor ter um peixe do que um passaro
have you already eaten supper,voce ja ceou
there is something wrong with my car,tem alguma coisa errada com o meu carro
i looked at the poster,eu olhei para o poster
tom needed someone he could trust,tom precisava de alguem em quem pudesse confiar
i hope you have a lot of time,espero que tenha bastante tempo
tom started to get drowsy again,tom comecou a ficar sonolento de novo
leave me a message please,deixeme um recado por favor
did that really happen,isso aconteceu mesmo
since i stayed up late im very sleepy,como eu levantei tarde estou com sono
he is a good doctor,e um bom medico
we have had enough,nos tivemos o suficiente
it is up to you,depende de voce
tom rinsed the dishes,tom enxaguou as loucas
ill be close by if you need me,estarei por perto se voce precisar
she dumped him for a richer man,ela o trocou por um homem mais rico
she called me in the afternoon,ela me ligou a tarde
my father rarely if ever goes out on sundays,meu pai raramente sai aos domingos se e que sai
tom is afraid to say no,tom tem medo de dizer nao
i think that youre a good father,eu acho que voce e um bom pai
tom cooks his own meals,tom faz a propria comida
tom doesnt play the piano nowadays,hoje em dia tom nao toca piano
i heard an explosion,eu ouvi uma explosao
i dont want you to stay here and watch me suffer,eu nao quero que voce fique aqui me vendo sofrer
they say that seeing is believing,dizse que ver e crer
i thought you were kidding,pensei que estivesse brincando
we hope that it works,esperamos que funcione
it appears to be broken,parece estar quebrado
i sure could use some sleep,dormir um pouco certamente me faria bem
tom wishes he didnt have to do that,o tom deseja que ele nao tenha que fazer isso
why would tom lie,por que tom mentiria
tom is waiting inside isnt he,o tomas esta a espera la dentro nao esta
where did you lose your umbrella,onde voce perdeu seu guardachuva
you should get your hair cut,voce deveria cortar o cabelo
tom likes studying french with mary,tom gosta de estudar frances com a mary
tom always wants to argue,o tom sempre quer discutir
i could swim faster when i was young,eu nadava mais rapido quando era jovem
the policeman captured the man who was running,o policial capturou o homem que estava correndo
she didnt come to the party but nobody knows the reason,ela nao veio a festa mas ninguem sabe o porque
tom watched mary walk into the hospital,tom viu mary entrar no hospital
i think that well always be here,acho que sempre estaremos aqui
id like to go to the zoo,gostaria de ir ao zoologico
do you still not know what to do,voce ainda nao sabe o que fazer
that wasnt hard,isso nao era dificil
do you want an apple,voce quer maca
its a beautiful flower,e uma flor linda
